content,cleaned_content,score,accuracy,completeness,satisfaction
saya mengunakan dana udah lama dan sering bertansaksi tapi limit dana cicil nya masih kosong 😁,saya mengunakan dana udah lama dan sering bertansaksi tapi limit dana cicil nya masih kosong,3,0,1,0
Jelek nih tiba2 motong saldo padhl g berlangganan konten di telusuri konten apa. Eh malah g bisa. Ga jelas,jelek nih tiba2 motong saldo padhl g berlangganan konten di telusuri konten apa. eh malah g bisa. ga jelas,3,1,0,1
kenapa ini bos gangguan kah dana? lama banget ini kaga masuk masuk,kenapa ini bos gangguan kah dana? lama banget ini kaga masuk masuk,3,1,0,1
"gak ada apa-apa, langganan apapun juga gak ada, Tiba-tiba saldo ditarik, padahal lagi butuh, kurang ajar banget","gak ada apa apa, langganan apapun juga gak ada, tiba tiba saldo ditarik, padahal lagi butuh, kurang ajar banget",1,1,0,1
sangat buruk transaksi tanpa setujuan,sangat buruk transaksi tanpa setujuan,1,1,0,1
kenapa dana aq bauat membayar listrik banyak mengambil saldo di akun dana uang ada 266.382 di buat bayar listrik Rp 144.525 kenapa sisa saldo Rp 79.356 knp banyak ngambi saldo di dana,kenapa dana aq bauat membayar listrik banyak mengambil saldo di akun dana uang ada 266.382 di buat bayar listrik rp 144.525 kenapa sisa saldo rp 79.356 knp banyak ngambi saldo di dana,2,1,0,1
kurang karna belum ada dana cicil,kurang karna belum ada dana cicil,1,0,1,1
"gimana ni dana kok saya tiba"" dana saya ilang 83 ribu itu kesedot apa gimana tolong bantu perbaiki dan balikan uang saya 83 ribu",gimana ni dana kok saya tiba dana saya ilang 83 ribu itu kesedot apa gimana tolong bantu perbaiki dan balikan uang saya 83 ribu,2,1,0,1
"Limit habis harus update akun ke premium. Proses update akun memerlukan waktu 2 hari, saldo gabisa di pindah selama akun belum menjadi premium. Padahal butuh transaksi urgent, mana gabisa tarik tunai. Sekelas dana harusnya gausah ribet untuk proses update akun","limit habis harus update akun ke premium. proses update akun memerlukan waktu 2 hari, saldo gabisa di pindah selama akun belum menjadi premium. padahal butuh transaksi urgent, mana gabisa tarik tunai. sekelas dana harusnya gausah ribet untuk proses update akun",1,0,1,1
"Uang saya ditarik tanpa konfirmasi padahal saya tidak berlangganan. Harusnya sebelum tarik konfirmasi dulu dan harus persetujuan pemilik akun. Semoga pengajuan saya dapat di tindak lanjut i... Bila dana saya kembali komentar ini akan saya hapus, terimakasih 🙏","uang saya ditarik tanpa konfirmasi padahal saya tidak berlangganan. harusnya sebelum tarik konfirmasi dulu dan harus persetujuan pemilik akun. semoga pengajuan saya dapat di tindak lanjut i... bila dana saya kembali komentar ini akan saya hapus, terimakasih",1,1,0,1
jelek jaringan lambat sekarang,jelek jaringan lambat sekarang,1,1,0,1
dana cicil gak muncul,dana cicil gak muncul,3,0,1,0
"gak jelas ini akun dana, ganti nomor aja susah, padahal saldo di akun lama masih banyak, gara-gara nomornya sudah lama hilang","gak jelas ini akun dana, ganti nomor aja susah, padahal saldo di akun lama masih banyak, gara gara nomornya sudah lama hilang",1,0,1,1
sangat praktis untuk bertransaksi,sangat praktis untuk bertransaksi,3,0,0,0
